"x"	"y"	"type"	"predictor"	"rank"	"feat"	"varimp"
"1"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	1	"X_hsa04152__84"	6.42073566424506
"2"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	2	"X_hsa04920__2"	6.39139379087779
"3"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	3	"X_hsa05200__216"	6.27181454037921
"4"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	4	"X_hsa04110__43_83_84_85"	6.24224170805764
"5"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	5	"X_hsa04620__39"	6.23037949338491
"6"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	6	"X_hsa04520__1_13"	6.18077127983475
"7"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	7	"X_hsa04920__6"	6.0993658869863
"8"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	8	"X_hsa04022__65"	5.87763512178657
"9"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	9	"X_hsa04022__57"	5.55905637749993
"10"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	10	"X_hsa04530__30"	5.31089784092004
"11"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	11	"X_hsa04916__10"	5.29989350350825
"12"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	12	"X_hsa04152__64"	5.0812436397336
"13"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	13	"X_hsa04920__43"	5.05018971410438
"14"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	14	"X_hsa04110__59_15_16_17_18_19_20"	4.96314697581902
"15"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	15	"X_hsa04114__80"	4.94899843313889
"16"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	16	"X_hsa03320__30"	4.83392449801977
"17"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	17	"X_hsa03320__40"	4.81393810892127
"18"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	18	"X_hsa03320__31"	4.78093034701689
"19"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	19	"X_hsa03320__10"	4.73544379721691
"20"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	20	"X_hsa04662__24"	4.68850662564013
"21"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	21	"X_hsa04722__14_32"	4.52458123319779
"22"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	22	"X_hsa03320__53"	4.44458556892577
"23"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	23	"X_hsa04350__20"	4.42687091438958
"24"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	24	"X_hsa04110__60_10_11_12_13_14_9"	4.4140187289291
"25"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	25	"X_hsa05205__215_216"	4.3514310024414
"26"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	26	"X_hsa04261__52"	4.32658643978317
"27"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	27	"X_hsa04110__10_11_12_13_14_9_15_16_17_18_19_20"	4.32436894233198
"28"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	28	"X_hsa05202__93"	4.27685222855864
"29"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	29	"X_hsa04152__87"	4.26035607156901
"30"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	30	"X_hsa04066__56"	4.23673418312772
"31"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	31	"X_hsa04152__27"	4.2223992429246
"32"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	32	"X_hsa04921__46"	4.18313662326987
"33"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	33	"X_hsa04261__39"	4.15398926620171
"34"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	34	"X_hsa04350__48_49"	4.14481639847764
"35"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	35	"X_hsa04010__79"	4.10395954814804
"36"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	36	"X_hsa04520__34"	4.06870143217812
"37"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	37	"X_hsa04611__49"	4.05192627099028
"38"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	38	"X_hsa04114__41"	4.04984440069656
"39"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	39	"X_hsa04922__78"	4.04926649528289
"40"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	40	"X_hsa03320__55"	4.01382767516165
"41"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	41	"X_hsa04150__46"	4.01237678278865
"42"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	42	"X_hsa04919__21_53"	3.99791637621431
"43"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	43	"X_hsa04670__55"	3.99170930305018
"44"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	44	"X_hsa03320__7"	3.94518945683923
"45"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	45	"X_hsa04670__18"	3.93383600439696
"46"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	46	"X_hsa04152__78"	3.90935834279082
"47"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	47	"X_hsa05200__227"	3.82989113295518
"48"	"eff.vals"	"surv.grps"	"path-wise"	"predictorRF"	48	"X_hsa04014__38"	3.81449049939476
